X Field,X轴字段
For,目标
Goal,目标
Objectives,目标
Target,目标
Targets,目标
Goals cannot be empty,目标不能为空
Target Distribution,目标分摊
Target Document Type,目标单据类型
Goal and Procedure,目标和程序
Target Location,目标地点
Target Location is required for the asset {0},目标地点是资产{0}所必需的
To Currency,目标币别
Target Qty,目标数量
Target On,目标类型
Target Details,目标细节
Target Detail,目标详细信息
Target  Amount,目标金额
Target ({}),目标（{}）
Objective,目的
Purpose,目的
Purposes,目的
Delivery To,目的地
Travel To,目的地
Destination ID,目的地ID
Purpose must be one of {0},目的必须是一个{0}
Until,直到
Direct,直接
Include Payment (POS),已付款（POS订单）
Direct Income,直接收入
Direct Expenses,直接费用
Straight Line,直线法
Related DocType,相关DocType
Dependent Task,相关任务
Dependent Tasks,相关任务
Same Field is entered more than once,相同字段不止一次输入
Same Item,相同物料
Same item has been entered multiple times. {0},相同的物料已被多次输入。 {0}
Item Variant {0} already exists with same attributes,相同规格/属性的多规格物料{0}已存在
camera,相机
State,状态
State,状态,Workflow Document State
State,状态,Workflow Transition
Dispatch State,省(配送）
Shipping State,省（出货）
Billing State,省（开票）
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,看来该网站的支付网关配置不正确，无法付款。
Kanban,看板
Kanban Board,看板
Kanban Board Column,看板列
Kanban Board Name,看板名称
Encounter Impression,看诊印象
Encounter Date,看诊日期
Encounter Time,看诊时间
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.",看起来服务器的条带配置存在问题。如果失败，这笔款项将退还给您的账户。
Looks like something is wrong with this site's Paypal configuration.,看起来这个网站的Paypal配置有问题。
Note Seen By,看过笔记的人
Do you really want to restore this scrapped asset?,真要恢复该已报废资产？
Do you really want to scrap this asset?,真要报废该资产？
Supervisor,督学
Knowledge Base,知识库
Knowledge Base Editor,知识库编辑
Knowledge Base Contributor,知识库贡献者
SMS,短信
SMS Center,短信中心
SMS Parameter,短信参数
Logs for maintaining sms delivery status,短信发送状态日志
SMS sent to following numbers: {0},短信发送至以下号码：{0}
SMS Log,短信日志
SMS Gateway URL,短信网关URL
Setup SMS gateway settings,短信网关的设置
SMS Settings,短信设置
Small Text,短文
Small Text,短文本
Short Term Loan Account,短期借款科目
Shortage Qty,短缺数量
Short keyboard patterns are easy to guess,短键盘模式容易被猜中
Sand,砂
Research,研究
Research & Development,研究与发展
Researcher,研究员
Post Graduate,研究生
Seminar,研讨会
Workshop,研讨会
Hardware,硬件
Go,确定
Value Proposition,确定价值主张
Identifying Decision Makers,确定决策人
Determine Address Tax Category From,确定税别的地址
Determine Check-in and Check-out,确定签到和签退
Confirm,确认
Confirmed,确认
Verify,确认
Declare Lost,确认未成交
Confirm Deletion of Data,确认删除数据
Confirmed orders from Customers.,确认客户订单。
Verify Password,确认密码
Confirm Your Email,确认您的电子邮件
Confirmation Date,确认日期
Confirm Request,确认申请
Confirmation Message,确认讯息
Consultations,磋商
Examples,示例
Example: {{ subject }},示例: {{ subject }}
Example Email Address,示例邮件地址
Example: {{ subject }},示例：{{subject}}
Social,社交
Social,社交
Social Logins,社交登录
Social Login Key,社交登录密钥
Social Login Provider,社交登录提供商
Community Forum,社区论坛
Ancestors Of,祖先
Jinja,Jinja
Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,禁止为生产工单创建工时记录。不为工单定义工序
Leave Block List Date,禁止休假日
Leave Block List Allowed,禁止休假日例外用户
Leave Block List Name,禁止休假日名称
Block Days,禁止休假日天数
Block Date,禁止休假日期
Leave Block List Dates,禁止休假日期
Leave Block List,禁止休假日表
Check this to disallow fractions. (for Nos),禁止使用小数，请勾选此项(针对个，支，片等整数单位)。
Disable Signup,禁止注册
Sign Up is disabled,禁止注册
Stop users from making Leave Applications on following days.,禁止用户在以下日期提交休假申请。
Disable SMTP server authentication,禁用SMTP服务器认证
Disable Capacity Planning and Time Tracking,禁用产能计划和时间追踪
Disable Standard Email Footer,禁用标准电子邮件页脚
Disable Template,禁用模板
Disable Customer Signup link in Login page,禁用登录页面的客户注册链接
Disable Marketplace,禁用网上交易市场
Disable Auto Refresh,禁用自动刷新
Disable Sidebar Stats,禁用补充工具栏统计信息
Disable Count,禁用计数
Disable Prepared Report,不允许设置为后台运行报表
ban-circle,禁至圆圈
Benefit,福利
Benefits Applied,福利
Benefit Type and Amount,福利类型和金额
Claim Benefit For,福利类型（薪资构成）
Off,离
Clutch Plate,离合器压盘
Away,离开
Left this conversation,离开了这个谈话
Reason For Leaving,离开原因
Check-out Date,离开日期
Date of Leaving,离开日期
Departure Datetime,离开时间
Leave this conversation,离开这个谈话
Divorced,离异
Offline,离线
Offline POS Name,离线POS名称
Offline POS Settings,离线POS设置
Offline POS Section,离线POS部分
Exit,离职
Relieving,离职
Reason for Leaving,离职原因
Reason for Resignation,离职原因
Relieving Date,离职日期
Relieving Date must be greater than Date of Joining,离职日期必须晚于入职日期
Exit Interview Details,离职访谈信息
Exit Interview Summary,离职访谈摘要
Private Equity,私募股权投资
Is Private,私有？
Direct Chat,私聊
Private Key,私钥
Path to private Key File,私钥文件的路径
Planting UOM,种植UOM
Planting Area,种植面积
Scientific Name,科学名称
Medical Department,科室
Account,科目
Account Head,科目
Against Account,对方科目
Account {0} does not exist,科目{0}不存在
Account {0} does not exists,科目{0}不存在
Account {0} does not belongs to company {1},科目{0}不属于公司{1}
Account {0} does not belong to company: {1},科目{0}不属于公司：{1}
Account {0}: You can not assign itself as parent account,科目{0}不能是自己的上级科目
Account {0} does not match with Company {1},科目{0}与公司{1}不符
Account {0} does not match with Company {1} in Mode of Account: {2},科目{0}与科目模式{2}中的公司{1}不符
Party Type and Party is mandatory for {0} account,科目{0}业务伙伴类型及业务伙伴信息必填
Account: {0} can only be updated via Stock Transactions,科目{0}只能通过库存相关业务更新
Account {0} is frozen,科目{0}已冻结
Account {0} has been entered multiple times,科目{0}已多次输入
Account {0} is invalid. Account Currency must be {1},科目{0}状态为失效。科目货币必须是{1}
Account {0}: Parent account {1} does not exist,科目{0}的上级科目{1}不存在
Account {0}: Parent account {1} does not belong to company: {2},科目{0}的上级科目{1}不属于公司{2}
Balance for Account {0} must always be {1},科目{0}的余额必须是{1}
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,科目{0}的科目号码不可用。 <br>请正确设置您的会计科目表。
Account {0}: Parent account {1} can not be a ledger,科目{0}：父(上级)科目{1}不能是记账科目
Account Number,科目代码
Account Balance,科目余额
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",科目余额已设置为'借方'，不能设置为'贷方'
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",科目余额已设置为'贷方'，不能设置为'借方'
Account Details,账户信息
Account Info,科目信息
Accounts Browser,科目列表
Account Name,科目名称
Account Subtype,科目子类型
Account Currency,科目币别
Balance In Account Currency,科目币别余额
Debit Amount in Account Currency,借方金额(科目币别)
Credit Amount in Account Currency,贷方金额(科目币别)
Account Type,科目类型
Chart Of Accounts,科目表
Chart of Accounts,科目表
Accounts table cannot be blank.,科目表不能为空。
Chart of Accounts Importer,科目表导入工具
Chart Tree,科目表树
Chart Of Accounts Template,科目表模板
Accounts Frozen Upto,科目被冻结截止日
Settings for Accounts,科目设置
Heads (or groups) against which Accounting Entries are made and balances are maintained.,科目（组），用于日记账凭证记账以及计算其余额
In seconds,秒
Secretary,秘书
Secret,秘密
Rented,租
Rented Car,租车
Rent Cost,租金成本
Loyalty Point Entry,积分
Loyalty Points,积分
Loyalty Point Entry Redemption,积分兑换
Loyalty Points Redemption,积分兑换
Redemption,积分兑换
Redemption Cost Center,积分兑换成本中心
Redemption Date,积分兑换日期
You can't redeem Loyalty Points having more value than the Grand Total.,积分兑换的金额超出总消费金额。
Redemption Account,积分兑换科目
Loyalty Program,积分方案
Loyalty Program Name,积分方案名称
The Loyalty Program isn't valid for the selected company,积分方案对所选公司无效
Loyalty Program Help,积分方案说明
Loyalty Program Tier,积分等级
Loyalty Program Type,积分类型
Collection Factor (=1 LP),积分系数（= 1积分）
Collection Rules,积分规则
Loyalty Program Collection,积分规则
Collection Tier,积分规则等级
Loyalty Point: {0},积分：{0}
Loyalty Points: {0},积分：{0}
Salutation,称呼
Salutation,称谓
Move To,移到
Move To Trash,移到废纸篓
Move,移动
Movement,移动
Move,移动
Moving Average,移动平均
Moving Average Rate,移动平均价格
Move Item,移动物料
Stock Entry Type,移动类型
Material Transfer,直接调拨
Move to Row Number,移至行号
Remove,移除
remove,移除
Procedure,程序
Procedures,程序
Procedure Name,程序名称
Procedure Prescription,程序处方
Procedure Created,程序已创建
Tree of Procedures,程序树
Procedure Template,程序模板
Program: ,程序：
Do It Later,稍后再做
Awaiting password,稍后提供密码
Taxes,税
Expense Taxes and Charges,税/费
Taxes and Charges,税/费
Tariff Number,税则号
Tax Type,税别
Tax Category,税别
Tax Template is mandatory.,税费模板字段必填。
Tax Account,税收科目
Tax Rule Conflicts with {0},税收规则与{0}冲突
Tax Rule for transactions.,税收规则进行的交易。
Tax Rate,税率
Tax Rates,税率
Percent Deduction,税率（%）
Tax Category,税种
Taxes and Charges on Income Tax,税费
Tax Breakup,税费明细
Item Tax Template,物料税费模板
Tax/Exp Rate,税费率
Tax Rule,税费模板分派规则
Taxes and Charges Calculation,税费计算
Tax,税项
"Tax Category has been changed to ""Total"" because all the Items are non-stock items",税项类别已更改为“合计”，因为所有物料均为非库存物料
empty,空
Not Set,空值
Air,空气
Blank Template,空白模板
Vacant,空的
Description of a Job Opening,空缺职位的说明
Space,空间
Send Now,立即发送
Take Backup Now,立即备份
View Now,立即查看
Apply Now,立即申请
thumbs-up,竖起大拇指
Chapter Member,章会员
Show Line Breaks after Sections,章节后，显示换行符
Section Footer,章节页脚
Port,端口
Endpoint,端点
Endpoints,端点
Endpoint URL,端点URL
Symbol,符号
Eligible ITC,符合条件的ITC
Page {0},第{0}
Row {0}:Start Date must be before End Date,第{0}行 ：开始日须早于结束日
Serial Numbers in row {0} does not match with Delivery Note,第{0}行中的序列号与销售出库不匹配
Source and target warehouse cannot be same for row {0},第{0}行中的源和收料仓不能相同
Course is mandatory in row {0},第{0}行中的课程信息必填
"Row #{0}: Qty must be 1, as item is a fixed asset. Please use separate row for multiple qty.",第{0}行允许资产类物料，其采购数量必须是1，如须采购多个，请拆分成多行。
Row #{0}: Rejected Warehouse is mandatory against rejected Item {1},第{0}行物料{1}被拒收，其拒收仓库字段必填
Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,第{0}行生产工单{3}成品数量{2}工序{1}未完成。请在加工单{4}上更新工序状态。
Row {0}# Paid Amount cannot be greater than requested advance amount,第{0}行的付款金额不能大于预付申请金额
"Row #{0}: Reference Document Type must be one of Sales Order, Sales Invoice or Journal Entry",第{0}行的源单据类型必须是销售订单或销售发票或日记账凭证
The Payment Term at row {0} is possibly a duplicate.,第{0}行的支付条款可能是重复的。
Row {0}: Qty is mandatory,第{0}行的数量字段必填
"To include tax in row {0} in Item rate, taxes in rows {1} must also be included",第{0}行的物料单价要含税，第{1}行的税也必须包括在内
Row #{0}: Posting Date must be same as purchase date {1} of asset {2},第{0}行的资产其{2}过账日期必须与采购日期{1}相同
From value must be less than to value in row {0},第{0}行的起始值必须小于截止值
Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order # {3}. Please update operation status via Time Logs,第{0}行订单{3}成品数量{2}工序{1}未完成。请在工时记录中更新工序状态
"Row #{0}: The batch {1} has only {2} qty. Please select another batch which has {3} qty available or split the row into multiple rows, to deliver/issue from multiple batches",第{0}行＃的批号{1}数量只有{2}。请选择数量大于等于{3}的其他批号，或将该行拆分成多行，用多个批号出货/发料
Row {0} : Operation is required against the raw material item {1},第{0}行，原材料{1}工序信息必填
Row {0}: {1} must be greater than 0,第{0}行：{1}必须大于0
Row {0}: Not allowed to disable Mandatory for standard fields,第{0}行：不允许更改系统标准字段的必填属性
Row {0}: An Reorder entry already exists for this warehouse {1},第{0}行：仓库{1}中已存在重订货记录
Row {0}: Activity Type is mandatory.,第{0}行：作业类型信息必填。
Row {0}: Debit entry can not be linked with a {1},第{0}行：借方不能与{1}关联
Row {0}: Invalid reference {1},第{0}行：无效参考{1}
Row {0}: Hours value must be greater than zero.,第{0}行：时长(小时)须大于零。
Row {0}: From time must be less than to time,第{0}行：时间开始必须早于结束时间
Row {0}: Quality Inspection rejected for item {1},第{0}行：物料 {1} 被质检拒收
Row {0}: Please set the correct code on Mode of Payment {1},第{0}行：请在付款方式{1}上设置正确的代码
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},第{0}行：采购发票不能对现有资产进行{1}
Row No {0}: Amount cannot be greater than Pending Amount against Expense Claim {1}. Pending Amount is {2},第{0}行：金额不能大于报销单{1}的待付款金额{2}
Row #{0}: Reqd by Date cannot be before Transaction Date,第{0}行：需求日期不能早于交易日期
Row {0}: asset is required for item {1},第{0}行：项{1}需填写资产号
Row {0}: Advance against Customer must be credit,第{0}行：预收客户款须记在贷方
Page {0} of {1},第{0}页，共{1}页
{0} of {1},第{0}项 / 共{1}项
Maximum discount for Item {0} is {1}%,第{0}项的最大折扣为{1}％
Valuation Rate required for Item {0} at row {1},第{1}的物料{0}需有成本价
Warehouse is mandatory for stock Item {0} in row {1},第{1}行中的库存物料{0}必须指定仓库
"Cannot overbill for Item {0} in row {1} more than {2}. To allow over-billing, please set in Stock Settings",第{1}行物料{0}超额开票不能超过上限{2}。必要时请更改“物料主数据”的设置
Packed quantity must equal quantity for Item {0} in row {1},第{1}行的打包数量必须等于物料{0}数量
Quantity ({0}) cannot be a fraction in row {1},第{1}行的数量（{0}）只能是整数
Not allowed for {0}: {1} in Row {2}. Restricted field: {3},第{2}行中不允许{0}：{1}。受限制的字段：{3}
Fieldtype cannot be changed from {0} to {1} in row {2},第{2}行中的字段类型不能从{0}更改为{1}
{0} from {1} to {2} in row #{3},第{3}行中的 {0} 从 {1} 变更为 {2}
First Success Message,第一个成功消息
First data column must be blank.,第一个数据列必须为空。
The first user will become the System Manager (you can change this later).,第一个用户将成为系统管理员，您以后可以更改。
The First User: You,第一个用户，你自己
The First User: You,第一个用户：您
Initial Email Notification Sent,第一封电子邮件通知已发送
First Email,第一封邮件
First Transaction,第一笔交易
First Level,第一级
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,第一行的“收取类型”不能是“基于上一行的金额”或者“前一行的总计”
First,第一页
Third Party Apps,第三方应用
Third Party Authentication,第三方认证
Second Email,第二封邮件
Equals,等于
Awaiting Response,等回应
Monospace,等宽
Awaiting Password,等待密码
Grade Code,等级代码
Tier Name,等级名称
Grade Description,等级说明
"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",过滤字段行＃{0}：字段名<b>{1}</b>必须是“链接”或“表格MultiSelect”类型
IN,签入
OUT,签出
Log Type is required for check-ins falling in the shift: {0}.,签到班次中需要登录类型：{0}。
Place of Issue,签发地点
Reason For Issuing document,签发文件的原因
Date of Issue,签发日期
Signature,签名
Signature,签名
Signatory Position,签名位置
Signee Details,签名信息
Signed On,签名日期
Signee,签署人
Intro Video,简介视频
"Simple Python Expression, Example: Status in (""Closed"", ""Cancelled"")","简单python表达式,示例: Status in (""Closed"", ""Cancelled"")"
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'","简单python表达式,示例: status == 'Open' and type == 'Bug'"
"Simple Python Expression, Example: status == 'Open' and type == 'Bug'",简单的Python表达式，例如：status ==&#39;Open&#39;并输入==&#39;Bug&#39;
"Simple Python Expression, Example: Status in (""Closed"", ""Cancelled"")",简单的Python表达式，示例：状态（“已关闭”，“已取消”）
Resume Attachment,简历附件
Short Name,简称
ADMINISTRATION,管理
Management,管理人员
Manage Territory Tree.,管理区域
Admin,管理员
Administrator,管理员
Administrator Logged In,管理员登录
Administrator accessed {0} on {1} via IP Address {2}.,管理员访问{0}在{1}通过IP地址{2}。
Manage Addresses,管理地址
Managing Subcontracting,管理委外
Manage Customer,管理客户
Manage Customer Group Tree.,管理客户组
Manage your orders,管理您的订单
Manage cost of operations,管理成本
Manage Sample Collection,管理样品收集
Manage Third Party Apps,管理第三方应用
Manage Sales Person Tree.,管理销售人员。
Manage Sales Partners.,管理业务伙伴。
Box,箱
Case No(s) already in use. Try from Case No {0},箱号已被使用，请尝试从{0}开始
Mizoram,米佐拉姆
Class,类
Category,类别
Category Description,类别说明
Type,类型
Field {0} of type {1} cannot be mandatory,类型{1}的字段{0}不能是必须项
Cost Center is required in row {0} in Taxes table for type {1},类型{1}税费表的行{0}必须有成本中心
Leave of type {0} cannot be longer than {1},类型为{0}的假期不能长于{1}天
"Must be of type ""Attach Image""",类型必须为“添加图片”
Type:,类型：
Silt Composition (%),粉尘成分（％）
Silty Clay,粉泥
Bold,粗体字显示
Clay,粘土
Clay Loam,粘土Loam
Clay Composition (%),粘土成分（％）
Paste,粘贴
Precision,精度
Precision should be between 1 and 6,精度应为1和6之间
Oops! Something went wrong,糟糕！出事了
Multiplier Field,系数字段
Multiplier Field,系数栏位
System,系统
System will notify to increase or decrease quantity or amount,系统会通知增加或减少数量或金额
System and Website Users,系统和网站用户
"Loyalty Points will be calculated from the spent done (via the Sales Invoice), based on collection factor mentioned.",系统将根据消费金额(销售发票)，乘以兑换系数为客户自动积分。
System will notify to increase or decrease quantity or amount ,系统将通知增加或减少数量或金额
Naming Series,单据编号模板
Series,单据编号模板
Series {0} already used in {1},单据编号模板{0}已经被{1}使用
"Special Characters except ""-"", ""#"", ""."", ""/"", ""{"" and ""}"" not allowed in naming series",单据编号模板中不允许使用除“ - ”，“＃”，“。”，“/”，“{”和“}”之外的特殊字符
"Special Characters except ""-"", ""#"", ""."" and ""/"" not allowed in naming series","单据编号模板中不能输入特殊符号，""-""，""#""，"".""和""/""除外"
Naming Series Prefix,单据编号模板前缀
Series Updated Successfully,单据编号模板已成功更新
Series Updated,单据编号模板已更新
Invalid naming series (. missing),单据编号模板无效(需有小数点.)
Naming Series mandatory,单据编号模板是必填字段
Series is mandatory,单据编号模板是必填字段
Naming Series (for Student Applicant),单据编号模板（学生申请人）
System User,系统用户
"System User (login) ID. If set, it will become default for all HR forms.",系统用户的（登录）ID，将作为人力资源表单的默认ID。
Execution Time:,系统用时：
System Manager,系统管理员
System Settings,系统设置
Integration Details,系统集成信息
System Page,系统页面
Vegetarian,素食
Request for Quotations,询价
Request for Information,索取资料
Index,索引
Response Time for {0} at index {1} can't be greater than Resolution Time.,第{1}行的{0}响应时间不能晚于解决时间。
Index,索引字段
Indexing broken,索引损坏
Compact Item Print,紧凑型物料打印(除单价与金额外其它字段在物料描述字段打印)
Urgent,紧急
Emergency Phone,紧急电话
Emergency Contact,紧急联系人
Purple,紫色
purple,紫色
Cumulative Transaction Threshold,累积交易阈值
Accumulated Values,累积值
Is Cumulative,累计值
Accumulated Depreciation,累计折旧
Accumulated Depreciation as on,累计折旧
Opening Accumulated Depreciation,累计折旧
Accumulated Depreciation - ,累计折旧
Opening Accumulated Depreciation must be less than equal to {0},累计折旧必须小于等于{0}
Accumulated Depreciation Account,累计折旧科目
Accumulated Depreciation Amount,累计折旧额
Income Tax Slab,累进税率表
Corrective/Preventive,纠正/预防
Corrective,纠正
Red,红色
Appointments,预约
Date TIme,预约时间
Level,级别
"Level 0 is for document level permissions, \								higher levels for field level permissions.",级别0是用于单据级别权限，\更高级别的字段级权限。
Level Name,级别名称
Latitude,纬度
Tax ID,纳税登记号
Tax Id,纳税登记号
Tax Id: ,纳税登记号：
Portrait,纵向打印
Line,线图
Lead,线索
Lead Id,线索ID
Lead Details,线索信息
Lead Name,线索姓名
Lead Count,线索数量
Lead Source,线索来源
Lead Type,线索类型
Lead Owner,线索负责人
Lead Owner cannot be same as the Lead,线索负责人不能是线索本身
Lead Owner Efficiency,线索负责人效率
Lead Conversion Time,线索转换时间
Group,组
Groups,组
Components,组件
 Group Roll No,组卷号
Group name cannot be empty.,组名不能为空。
Group Label,组标签
Organization,组织
Organizational Unit,组织单位
Org History Heading,公司发展历程标题
Your Organization,组织机构
Group Node,组节点
Group node warehouse is not allowed to select for transactions,组节点仓库不允许选择用于交易
Group to Non-Group,组转换为非组
Market Segment,细分市场
Particulars,细节
Recurring,经常性
Longitude,经度
Manager,经理
Grant Application,经费申请
Grant information.,经费申请信息。
Grant Application Details ,经费申请细节
Reseller,经销商
Ensure Delivery Based on Produced Serial No,绑定工单入库序列号出货
Balance Qty,结余数量
Balance Value,结余金额
Balance (Dr - Cr),结余（Dr  -  Cr）
Closing Account Head,结转科目
Checkout Settings,结账设置
End on,结束日期
Ends On,结束日期
End Year,结束年份
Ends On date cannot be before Next Contact Date.,结束日不应早于下一次联络日。
End Date,结束日期
To Date,结束日期
Work End Date,结束日期
End Date cannot be before Start Date!,结束日期不能在开始日期之前！
End Date can not be less than Start Date,结束日期不能小于开始日期
To Date cannot be less than From Date,结束日期不能早于开始日期
To date can not be less than from date,结束日期不能早于开始日期
To date cannot be before from date,结束日期不能早于开始日期
End Date cannot be before Start Date.,结束日期不能早于开始日期。
To date can not be equal or less than from date,结束日期不能等于或早于开始日期
End Date Field,结束日期字段
End date must be greater than start date,结束日期必须晚于开始日期
End Time,结束时间
Ends on,结束时间
To Datetime,结束时间
To TIme,结束时间
To Time,结束时间
End time cannot be before start time,结束时间不能早于开始时间
Result,结果
Result HTML,结果HTML
Result Value,结果值
Result already Submitted,结果已提交
Result Printed,结果打印
Result Date,结果日期
Result Datetime,结果日期时间
Result Title Field,结果标题字段
Result Format,结果格式
Result Component,结果组件
Result Route Field,结果路径字段
Result Preview Field,结果预览字段
Billing and Delivery Status,结算和出货状态
Closing Date,结算日期
Billing Currency,结算货币
Carry Forward,结转
Add unused leaves from previous allocations,结转之前结余休假
Bypass restricted IP Address check If Two Factor Auth Enabled,绕过受限制的IP地址检查如果双因素验证启用
gave {0} points,给了{0}分
To Employee,员工(接收人)
Send Me A Copy of Outgoing Emails,给我自己发电子邮件的副本
Send Me A Copy,给我自己抄送一份
To User,给用户
To Shareholder,给股东
Analytics,统计分析
Statistical Component,统计项
Continue,继续
Continue Configuration,继续配置
Performance,绩效
Goals,绩效指标
Appraisal,绩效评估
Appraisals,绩效评估
Appraisal Goal,绩效评估指标
Maintenance User,维保用户
Maintenance Manager,维保经理
Maintenance Manager Name,维保经理姓名
Repair,维修
Repair Status,维修状态
Maintenance Team,保养小组
Dimension Name,辅助核算名称
Dimension Defaults,辅助核算默认值
Maintenance Task,保养任务
Maintenance Tasks,保养任务
Maintenance,维护保养
Maintenance Team Member,保养小组成员
Maintenance Team Members,保养小组成员
Maintenance Visit,维护巡修
Visit report for maintenance call.,维护巡修报告。
Maintenance Visit Purpose,维护巡修目的
Maintenance Schedule,维护巡修计划
Plan for maintenance visits.,维护巡修计划。
Maintenance Log,保养日志
Maintenance Date,保养日期
Maintenance Time,保养时间
Maintenance Status,保养状态
Maintenance Status has to be Cancelled or Completed to Submit,提交前保养状态须为取消或完成
Maintenance Type,保养类型
Maintenance Team Name,保养小组名称
Maintenance Role,角色
Maintenance Schedules,保养计划
Maintenance Schedule is not generated for all the items. Please click on 'Generate Schedule',维护计划没有为所有物料生成，请点击“生成计划”
Maintenance Schedule Item,维护计划物料
Maintenance Schedule Detail,保养计划详情
Comprehensive Insurance,综合保险
Integrated Tax,综合税
Amount of Integrated Tax,综合税额
Green,绿色
Cache Cleared,缓存已清除
ID,编号
Id,编号
Naming,编号规则
Invalid fieldname '{0}' in autoname,编号规则中字段名“{0}”无效
ID ({0}),编码 ({0})
Codification Table,编纂表
Compiled Successfully,编译成功
Edit,编辑
Edit...,编辑...
Edit HTML,编辑HTML
Edit {0},编辑{0}
Edit Profile,编辑个人资料
Edit to add content,编辑 添加内容
Edit Section,编辑分节符
Edit Publishing Details,编辑发布细节
Edit Chart,编辑图表
Map Columns,编辑字段对照关系
Edit Properties,编辑属性
Edit Heading,编辑标题
Edit Title,编辑标题
Edit Format,编辑格式
Edit Custom HTML,编辑自定义HTML
Editing Row,编辑行
Edit Description,编辑说明
Edit Filter,编辑过滤条件
Abbr,简称
Abbreviation,简称
Abbr can not be blank or space,简称不能为空
Abbreviation cannot have more than 5 characters,简称不能超过5个字符
Abbreviation is mandatory,简称字段必填
Abbreviation already used for another company,简称已用于另一家公司
zoom-out,缩小
resize-full,缩放至整页
Thumbnail,缩略图
Thumbnail URL,缩略图网址
With Payment of Tax,缴纳税款
Absent,缺勤
Absent Student Report,缺勤学生报表
Value missing for,缺少值
"Missing value for Password, API Key or Shopify URL",缺少密码，API密钥或Shopify网址的值
Missing parameter Kanban Board Name,缺少看板名称参数
Item Shortage Report,缺料报表
Not in stock,缺货
Marketplace,网上交易市场
Market Place ID,网上交易市场ID
Marketplace URL (to hide and update label),网上交易市场网址（隐藏和更新标签）
Marketplace Settings,网上交易市场设置
Market Place Account Group,网上交易市场账户组
Marketplace Error,网上交易市场错误
Online Auctions,网上拍卖
"Settings for online shopping cart such as shipping rules, price list etc.",网上购物车，如配送规则，价格表等的设置
Gateway,网关
Gateway Controller,网关控制器
Gateway Settings,网关设置
URL,网址
URLs,网址
"URL for ""All Products""",网址“所有产品”
URL must start with 'http://' or 'https://',网址必须以“http：//”或“https：//”开头
Path,网址路径
Website Route Meta,网址路径元数据
Route History,网址路径浏览历史
Route Redirects,网址重定向
Web Site,网站
Website,网站
Places,网站
Item Website Specification,网站上显示的物料详细规格
User editable form on Website.,网站上的用户可编辑表单
Company Description for website homepage,网站主页上的公司简介
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)","网站主页的链接。标准链接如(index, login, products, blog, about, contact)"
Website Theme,网站主题
Website Theme Image Link,网站主题图像链接
Website Theme Image,网站主题图片
Settings for website product listing,网站产品列表的设置
Website Sidebar Item,网站侧栏条目
Website Meta Tag,网站元标记
Website Content,网站内容
Website Listing,网站列表
Website Image {0} attached to Item {1} cannot be found,网站图像{0}附加到物料{1}无法找到
FavIcon,网站图标
Website Attribute,网站属性
Website Slideshow,网站幻灯片
Website Slideshow Item,网站幻灯片项目
Website Image,网站图片
Website Image should be a public file or website URL,网站图片应该是一个公共文件或网站网址
Website Item Group,网站物料组
Website Item Groups,网站物料组
Website User,网站用户
Website Manager,网站管理员
Website URL,网站网址
Web Page,网站网页
Website Script,网站脚本
Website Specifications,网站规格
Website Settings,网站设置
Website Route Meta,网站路径元数据
Website Route Redirect,网站路径重定向
Website Sidebar,网站边栏
Website Filter Field,网站过滤字段
Web Link,网站链接
Webhook,网络挂接
Webhooks,网络挂接
Page,网页
Page Name,网页名称
User Permission for Page and Report,网页和报表的用户权限
Role Permission for Page and Report,网页和报表角色权限
Web Form,网页表单
Web Page Link Text,网页链接文本
us-east-2,美东2
USD,美元
CNY,人民币
us-east-1,美国 - 东 -  1
us-west-1,美西1
us-west-2,美西2
Newsletter,简讯
Newsletters,简讯
Newsletter has already been sent,简讯已发出
Newsletter Email Group,简讯电子邮件组
Newsletter Manager,简讯经理
Translation,翻译
Translations,翻译
Translator,翻译
Translate {0},翻译{0}
Custom Translation,翻译定制
Translated Text,翻译文本
Repeat Customers,老客户
Repeat Customer Revenue,老客户收入
Attendance,考勤
Mark Attendance,考勤
Attendance can not be marked for future dates,考勤不能选未来的日期
Attendance and Leave Details,考勤与休假
Attendance From Date,考勤开始日期
Attendance Date,考勤日期
Attendance date can not be less than employee's joining date,考勤日期不得早于员工入职日期
Attendance Request,考勤申请
Attendance has been marked successfully.,考勤登记成功。
Attendance To Date,考勤结束日期
Attendance Device ID (Biometric/RF tag ID),考勤设备(生物识别/RFID)
As Examiner,考官
Examiner,考官
Examiner Name,考官姓名
